#s  xi0     xi0_err
2.500000e+00 1.622941e+00 2.882042e-02
7.500000e+00 4.795298e-01 9.443429e-03
1.250000e+01 1.927805e-01 5.586212e-03
1.750000e+01 9.037961e-02 4.239514e-03
2.250000e+01 4.515480e-02 3.436423e-03
2.750000e+01 2.426643e-02 2.843462e-03
3.250000e+01 1.544386e-02 2.641235e-03
3.750000e+01 1.503384e-02 2.276925e-03
4.250000e+01 1.207041e-02 1.967243e-03
4.750000e+01 9.619948e-03 1.838438e-03
5.250000e+01 7.456228e-03 1.663438e-03
5.750000e+01 4.862139e-03 1.532198e-03
6.250000e+01 3.480551e-03 1.414943e-03
6.750000e+01 3.818927e-03 1.306711e-03
7.250000e+01 2.083016e-03 1.170133e-03
7.750000e+01 3.026158e-03 1.130057e-03
8.250000e+01 1.662159e-03 1.059575e-03
8.750000e+01 -4.509058e-04 1.051994e-03
9.250000e+01 -3.509071e-04 9.174646e-04
9.750000e+01 -9.072795e-04 9.079103e-04
1.025000e+02 9.376134e-04 8.708419e-04
1.075000e+02 -6.950502e-04 8.483444e-04
1.125000e+02 -1.684392e-03 7.982995e-04
1.175000e+02 -8.277200e-05 7.632443e-04
1.225000e+02 -2.483142e-04 7.449930e-04
1.275000e+02 -2.247883e-04 7.167778e-04
1.325000e+02 3.208353e-04 6.640827e-04
1.375000e+02 -6.448324e-04 6.805706e-04
1.425000e+02 -8.649144e-04 6.431834e-04
1.475000e+02 -1.010968e-03 5.987350e-04
1.525000e+02 -1.436633e-03 6.000668e-04
1.575000e+02 -5.866998e-04 5.829939e-04
1.625000e+02 3.244292e-05 5.794654e-04
1.675000e+02 -1.928829e-04 5.409244e-04
1.725000e+02 -3.781842e-04 5.326428e-04
1.775000e+02 5.523797e-04 5.247067e-04
1.825000e+02 4.556761e-04 5.211989e-04
1.875000e+02 6.944353e-04 5.007330e-04
1.925000e+02 4.867513e-04 4.880035e-04
1.975000e+02 3.156444e-04 5.041454e-04
