#s  xi0     xi0_err
2.500000e+00 1.589290e+00 2.753345e-02
7.500000e+00 4.690792e-01 9.016700e-03
1.250000e+01 1.962982e-01 5.515766e-03
1.750000e+01 9.264354e-02 4.319636e-03
2.250000e+01 4.468857e-02 3.424816e-03
2.750000e+01 3.190753e-02 2.912161e-03
3.250000e+01 1.665237e-02 2.601728e-03
3.750000e+01 1.231495e-02 2.301132e-03
4.250000e+01 9.173048e-03 2.098614e-03
4.750000e+01 6.463336e-03 1.838952e-03
5.250000e+01 6.063607e-03 1.744485e-03
5.750000e+01 2.146206e-03 1.614263e-03
6.250000e+01 2.243443e-03 1.514097e-03
6.750000e+01 3.384955e-03 1.462281e-03
7.250000e+01 2.439915e-03 1.352150e-03
7.750000e+01 2.852861e-03 1.210215e-03
8.250000e+01 1.412348e-03 1.124794e-03
8.750000e+01 1.555817e-03 1.111390e-03
9.250000e+01 2.195643e-03 1.042118e-03
9.750000e+01 2.379961e-03 9.984636e-04
1.025000e+02 3.401073e-03 9.841984e-04
1.075000e+02 2.743874e-03 9.477157e-04
1.125000e+02 1.512037e-03 8.949032e-04
1.175000e+02 7.667830e-04 8.490163e-04
1.225000e+02 1.370775e-03 8.392149e-04
1.275000e+02 -2.515585e-04 8.300830e-04
1.325000e+02 -9.619565e-04 8.323618e-04
1.375000e+02 5.949991e-04 7.822750e-04
1.425000e+02 -2.753077e-04 7.861924e-04
1.475000e+02 3.024776e-04 7.687888e-04
1.525000e+02 -3.291859e-04 7.593182e-04
1.575000e+02 -6.325943e-04 7.432347e-04
1.625000e+02 -8.901286e-04 7.226097e-04
1.675000e+02 -4.680083e-04 6.923072e-04
1.725000e+02 -3.979337e-04 6.947700e-04
1.775000e+02 -7.935135e-04 6.879030e-04
1.825000e+02 -1.148245e-03 6.496231e-04
1.875000e+02 -8.871565e-04 6.599046e-04
1.925000e+02 -1.282617e-03 6.458628e-04
1.975000e+02 -2.056047e-04 6.315996e-04
