#s    xi0post
5.250000e+01 5.028544e-03
5.750000e+01 4.071673e-03
6.250000e+01 3.318089e-03
6.750000e+01 2.691853e-03
7.250000e+01 2.150370e-03
7.750000e+01 1.704647e-03
8.250000e+01 1.460816e-03
8.750000e+01 1.589060e-03
9.250000e+01 2.118077e-03
9.750000e+01 2.733556e-03
1.025000e+02 2.978250e-03
1.075000e+02 2.673991e-03
1.125000e+02 2.021859e-03
1.175000e+02 1.335660e-03
1.225000e+02 8.040007e-04
1.275000e+02 4.602902e-04
1.325000e+02 2.623240e-04
1.375000e+02 1.562971e-04
1.425000e+02 9.899737e-05
1.475000e+02 6.459117e-05
