#catalogue_i     catalogue_j     ell_i   ell_j  s_i     s_j      Cov^-1_ij
post-recon post-recon 0 0 5.250000e+01 5.250000e+01 5.162098e+05
post-recon post-recon 0 0 5.250000e+01 5.750000e+01 -1.960464e+05
post-recon post-recon 0 0 5.250000e+01 6.250000e+01 -1.121798e+05
post-recon post-recon 0 0 5.250000e+01 6.750000e+01 -6.850735e+04
post-recon post-recon 0 0 5.250000e+01 7.250000e+01 2.278449e+04
post-recon post-recon 0 0 5.250000e+01 7.750000e+01 8.907429e+02
post-recon post-recon 0 0 5.250000e+01 8.250000e+01 -3.672470e+04
post-recon post-recon 0 0 5.250000e+01 8.750000e+01 -3.364724e+04
post-recon post-recon 0 0 5.250000e+01 9.250000e+01 -2.186987e+04
post-recon post-recon 0 0 5.250000e+01 9.750000e+01 3.825555e+04
post-recon post-recon 0 0 5.250000e+01 1.025000e+02 3.982118e+03
post-recon post-recon 0 0 5.250000e+01 1.075000e+02 -2.697680e+04
post-recon post-recon 0 0 5.250000e+01 1.125000e+02 7.765949e+03
post-recon post-recon 0 0 5.250000e+01 1.175000e+02 4.009207e+04
post-recon post-recon 0 0 5.250000e+01 1.225000e+02 -1.598113e+04
post-recon post-recon 0 0 5.250000e+01 1.275000e+02 2.320052e+04
post-recon post-recon 0 0 5.250000e+01 1.325000e+02 3.414860e+03
post-recon post-recon 0 0 5.250000e+01 1.375000e+02 2.665092e+04
post-recon post-recon 0 0 5.250000e+01 1.425000e+02 -3.463467e+03
post-recon post-recon 0 0 5.250000e+01 1.475000e+02 -1.325675e+02
post-recon post-recon 0 0 5.750000e+01 5.250000e+01 -1.960464e+05
post-recon post-recon 0 0 5.750000e+01 5.750000e+01 6.945051e+05
post-recon post-recon 0 0 5.750000e+01 6.250000e+01 -2.430871e+05
post-recon post-recon 0 0 5.750000e+01 6.750000e+01 -6.500495e+04
post-recon post-recon 0 0 5.750000e+01 7.250000e+01 -3.672256e+04
post-recon post-recon 0 0 5.750000e+01 7.750000e+01 -7.161746e+02
post-recon post-recon 0 0 5.750000e+01 8.250000e+01 -2.561250e+04
post-recon post-recon 0 0 5.750000e+01 8.750000e+01 -3.379887e+04
post-recon post-recon 0 0 5.750000e+01 9.250000e+01 4.420475e+04
