#catalogue_i     catalogue_j     ell_i   ell_j  s_i     s_j      Cov^-1_ij
post-recon post-recon 0 0 5.250000e+01 5.250000e+01 5.024573e+05
post-recon post-recon 0 0 5.250000e+01 5.750000e+01 -2.371044e+05
post-recon post-recon 0 0 5.250000e+01 6.250000e+01 -8.542910e+04
post-recon post-recon 0 0 5.250000e+01 6.750000e+01 -5.403571e+04
post-recon post-recon 0 0 5.250000e+01 7.250000e+01 -1.035425e+04
post-recon post-recon 0 0 5.250000e+01 7.750000e+01 3.213495e+04
post-recon post-recon 0 0 5.250000e+01 8.250000e+01 -2.507872e+04
post-recon post-recon 0 0 5.250000e+01 8.750000e+01 2.690577e+04
post-recon post-recon 0 0 5.250000e+01 9.250000e+01 -1.479532e+04
post-recon post-recon 0 0 5.250000e+01 9.750000e+01 -6.579439e+03
post-recon post-recon 0 0 5.250000e+01 1.025000e+02 -2.553315e+03
post-recon post-recon 0 0 5.250000e+01 1.075000e+02 2.557116e+04
post-recon post-recon 0 0 5.250000e+01 1.125000e+02 -4.004571e+04
post-recon post-recon 0 0 5.250000e+01 1.175000e+02 2.263216e+04
post-recon post-recon 0 0 5.250000e+01 1.225000e+02 -1.504045e+03
post-recon post-recon 0 0 5.250000e+01 1.275000e+02 -7.405958e+03
post-recon post-recon 0 0 5.250000e+01 1.325000e+02 4.861563e+04
post-recon post-recon 0 0 5.250000e+01 1.375000e+02 -1.084298e+04
post-recon post-recon 0 0 5.250000e+01 1.425000e+02 -1.244356e+04
post-recon post-recon 0 0 5.250000e+01 1.475000e+02 1.506157e+04
post-recon post-recon 0 0 5.750000e+01 5.250000e+01 -2.371044e+05
post-recon post-recon 0 0 5.750000e+01 5.750000e+01 6.957209e+05
post-recon post-recon 0 0 5.750000e+01 6.250000e+01 -1.991827e+05
post-recon post-recon 0 0 5.750000e+01 6.750000e+01 -7.848175e+04
post-recon post-recon 0 0 5.750000e+01 7.250000e+01 -8.019412e+04
post-recon post-recon 0 0 5.750000e+01 7.750000e+01 1.657330e+04
post-recon post-recon 0 0 5.750000e+01 8.250000e+01 -1.883686e+04
post-recon post-recon 0 0 5.750000e+01 8.750000e+01 1.460704e+04
post-recon post-recon 0 0 5.750000e+01 9.250000e+01 -1.223270e+04
post-recon post-recon 0 0 5.750000e+01 9.750000e+01 7.361005e+03
post-recon post-recon 0 0 5.750000e+01 1.025000e+02 3.965119e+03
post-recon post-recon 0 0 5.750000e+01 1.075000e+02 -2.583031e+03
post-recon post-recon 0 0 5.750000e+01 1.125000e+02 -1.227132e+04
post-recon post-recon 0 0 5.750000e+01 1.175000e+02 -2.660143e+04
post-recon post-recon 0 0 5.750000e+01 1.225000e+02 -4.757980e+04
post-recon post-recon 0 0 5.750000e+01 1.275000e+02 -2.623043e+04
post-recon post-recon 0 0 5.750000e+01 1.325000e+02 2.331803e+04
post-recon post-recon 0 0 5.750000e+01 1.375000e+02 -4.164764e+04
post-recon post-recon 0 0 5.750000e+01 1.425000e+02 1.921839e+04
post-recon post-recon 0 0 5.750000e+01 1.475000e+02 -2.719933e+03
post-recon post-recon 0 0 6.250000e+01 5.250000e+01 -8.542910e+04
post-recon post-recon 0 0 6.250000e+01 5.750000e+01 -1.991827e+05
post-recon post-recon 0 0 6.250000e+01 6.250000e+01 8.560407e+05
post-recon post-recon 0 0 6.250000e+01 6.750000e+01 -2.768223e+05
post-recon post-recon 0 0 6.250000e+01 7.250000e+01 -1.404182e+05
post-recon post-recon 0 0 6.250000e+01 7.750000e+01 -7.178839e+04
post-recon post-recon 0 0 6.250000e+01 8.250000e+01 -2.186286e+04
post-recon post-recon 0 0 6.250000e+01 8.750000e+01 2.169158e+03
post-recon post-recon 0 0 6.250000e+01 9.250000e+01 -2.443662e+04
post-recon post-recon 0 0 6.250000e+01 9.750000e+01 -4.304421e+04
post-recon post-recon 0 0 6.250000e+01 1.025000e+02 5.135230e+04
post-recon post-recon 0 0 6.250000e+01 1.075000e+02 -2.491276e+04
post-recon post-recon 0 0 6.250000e+01 1.125000e+02 3.666327e+04
post-recon post-recon 0 0 6.250000e+01 1.175000e+02 -1.978114e+04
post-recon post-recon 0 0 6.250000e+01 1.225000e+02 -3.742195e+04
post-recon post-recon 0 0 6.250000e+01 1.275000e+02 1.553897e+02
post-recon post-recon 0 0 6.250000e+01 1.325000e+02 1.090515e+04
post-recon post-recon 0 0 6.250000e+01 1.375000e+02 -3.206930e+04
post-recon post-recon 0 0 6.250000e+01 1.425000e+02 3.172354e+04
post-recon post-recon 0 0 6.250000e+01 1.475000e+02 7.343258e+03
post-recon post-recon 0 0 6.750000e+01 5.250000e+01 -5.403571e+04
post-recon post-recon 0 0 6.750000e+01 5.750000e+01 -7.848175e+04
post-recon post-recon 0 0 6.750000e+01 6.250000e+01 -2.768223e+05
post-recon post-recon 0 0 6.750000e+01 6.750000e+01 9.158879e+05
post-recon post-recon 0 0 6.750000e+01 7.250000e+01 -2.512424e+05
post-recon post-recon 0 0 6.750000e+01 7.750000e+01 -7.117694e+04
post-recon post-recon 0 0 6.750000e+01 8.250000e+01 -1.109777e+05
post-recon post-recon 0 0 6.750000e+01 8.750000e+01 -2.727464e+04
post-recon post-recon 0 0 6.750000e+01 9.250000e+01 3.205122e+04
post-recon post-recon 0 0 6.750000e+01 9.750000e+01 -7.894060e+04
post-recon post-recon 0 0 6.750000e+01 1.025000e+02 -5.597610e+04
post-recon post-recon 0 0 6.750000e+01 1.075000e+02 -5.774679e+03
post-recon post-recon 0 0 6.750000e+01 1.125000e+02 1.255858e+04
post-recon post-recon 0 0 6.750000e+01 1.175000e+02 6.156494e+04
post-recon post-recon 0 0 6.750000e+01 1.225000e+02 -1.395697e+04
post-recon post-recon 0 0 6.750000e+01 1.275000e+02 6.992457e+04
post-recon post-recon 0 0 6.750000e+01 1.325000e+02 -3.589450e+04
post-recon post-recon 0 0 6.750000e+01 1.375000e+02 3.239755e+04
post-recon post-recon 0 0 6.750000e+01 1.425000e+02 -7.664230e+04
post-recon post-recon 0 0 6.750000e+01 1.475000e+02 4.850812e+04
post-recon post-recon 0 0 7.250000e+01 5.250000e+01 -1.035425e+04
post-recon post-recon 0 0 7.250000e+01 5.750000e+01 -8.019412e+04
post-recon post-recon 0 0 7.250000e+01 6.250000e+01 -1.404182e+05
post-recon post-recon 0 0 7.250000e+01 6.750000e+01 -2.512424e+05
post-recon post-recon 0 0 7.250000e+01 7.250000e+01 1.059998e+06
post-recon post-recon 0 0 7.250000e+01 7.750000e+01 -3.704901e+05
post-recon post-recon 0 0 7.250000e+01 8.250000e+01 -5.950535e+04
post-recon post-recon 0 0 7.250000e+01 8.750000e+01 -7.209688e+04
post-recon post-recon 0 0 7.250000e+01 9.250000e+01 -4.724486e+04
post-recon post-recon 0 0 7.250000e+01 9.750000e+01 1.828684e+04
post-recon post-recon 0 0 7.250000e+01 1.025000e+02 2.700626e+04
post-recon post-recon 0 0 7.250000e+01 1.075000e+02 -6.298537e+04
post-recon post-recon 0 0 7.250000e+01 1.125000e+02 4.173635e+01
post-recon post-recon 0 0 7.250000e+01 1.175000e+02 1.024823e+04
post-recon post-recon 0 0 7.250000e+01 1.225000e+02 6.947562e+04
post-recon post-recon 0 0 7.250000e+01 1.275000e+02 -4.266018e+03
post-recon post-recon 0 0 7.250000e+01 1.325000e+02 4.595614e+03
post-recon post-recon 0 0 7.250000e+01 1.375000e+02 8.628224e+01
post-recon post-recon 0 0 7.250000e+01 1.425000e+02 4.969542e+04
post-recon post-recon 0 0 7.250000e+01 1.475000e+02 -6.263372e+04
post-recon post-recon 0 0 7.750000e+01 5.250000e+01 3.213495e+04
post-recon post-recon 0 0 7.750000e+01 5.750000e+01 1.657330e+04
post-recon post-recon 0 0 7.750000e+01 6.250000e+01 -7.178839e+04
post-recon post-recon 0 0 7.750000e+01 6.750000e+01 -7.117694e+04
post-recon post-recon 0 0 7.750000e+01 7.250000e+01 -3.704901e+05
post-recon post-recon 0 0 7.750000e+01 7.750000e+01 1.204486e+06
post-recon post-recon 0 0 7.750000e+01 8.250000e+01 -3.132416e+05
post-recon post-recon 0 0 7.750000e+01 8.750000e+01 -9.993145e+04
post-recon post-recon 0 0 7.750000e+01 9.250000e+01 -1.002161e+05
post-recon post-recon 0 0 7.750000e+01 9.750000e+01 -1.709887e+04
post-recon post-recon 0 0 7.750000e+01 1.025000e+02 2.746918e+04
post-recon post-recon 0 0 7.750000e+01 1.075000e+02 3.634962e+04
post-recon post-recon 0 0 7.750000e+01 1.125000e+02 -1.101145e+05
post-recon post-recon 0 0 7.750000e+01 1.175000e+02 2.998443e+04
post-recon post-recon 0 0 7.750000e+01 1.225000e+02 -8.451038e+04
post-recon post-recon 0 0 7.750000e+01 1.275000e+02 -1.747306e+04
post-recon post-recon 0 0 7.750000e+01 1.325000e+02 -5.467496e+04
post-recon post-recon 0 0 7.750000e+01 1.375000e+02 5.185114e+04
post-recon post-recon 0 0 7.750000e+01 1.425000e+02 -8.473226e+03
post-recon post-recon 0 0 7.750000e+01 1.475000e+02 6.770585e+04
post-recon post-recon 0 0 8.250000e+01 5.250000e+01 -2.507872e+04
post-recon post-recon 0 0 8.250000e+01 5.750000e+01 -1.883686e+04
post-recon post-recon 0 0 8.250000e+01 6.250000e+01 -2.186286e+04
post-recon post-recon 0 0 8.250000e+01 6.750000e+01 -1.109777e+05
post-recon post-recon 0 0 8.250000e+01 7.250000e+01 -5.950535e+04
post-recon post-recon 0 0 8.250000e+01 7.750000e+01 -3.132416e+05
post-recon post-recon 0 0 8.250000e+01 8.250000e+01 1.321977e+06
post-recon post-recon 0 0 8.250000e+01 8.750000e+01 -3.150281e+05
post-recon post-recon 0 0 8.250000e+01 9.250000e+01 -1.182217e+05
post-recon post-recon 0 0 8.250000e+01 9.750000e+01 -5.974579e+04
post-recon post-recon 0 0 8.250000e+01 1.025000e+02 -5.133876e+04
post-recon post-recon 0 0 8.250000e+01 1.075000e+02 -4.254016e+04
post-recon post-recon 0 0 8.250000e+01 1.125000e+02 1.480449e+04
post-recon post-recon 0 0 8.250000e+01 1.175000e+02 -6.382365e+04
post-recon post-recon 0 0 8.250000e+01 1.225000e+02 5.917106e+04
post-recon post-recon 0 0 8.250000e+01 1.275000e+02 -4.350982e+04
post-recon post-recon 0 0 8.250000e+01 1.325000e+02 2.299059e+03
post-recon post-recon 0 0 8.250000e+01 1.375000e+02 -2.532893e+04
post-recon post-recon 0 0 8.250000e+01 1.425000e+02 3.034113e+04
post-recon post-recon 0 0 8.250000e+01 1.475000e+02 -8.809879e+04
post-recon post-recon 0 0 8.750000e+01 5.250000e+01 2.690577e+04
post-recon post-recon 0 0 8.750000e+01 5.750000e+01 1.460704e+04
post-recon post-recon 0 0 8.750000e+01 6.250000e+01 2.169158e+03
post-recon post-recon 0 0 8.750000e+01 6.750000e+01 -2.727464e+04
post-recon post-recon 0 0 8.750000e+01 7.250000e+01 -7.209688e+04
post-recon post-recon 0 0 8.750000e+01 7.750000e+01 -9.993145e+04
post-recon post-recon 0 0 8.750000e+01 8.250000e+01 -3.150281e+05
post-recon post-recon 0 0 8.750000e+01 8.750000e+01 1.334842e+06
post-recon post-recon 0 0 8.750000e+01 9.250000e+01 -3.952220e+05
post-recon post-recon 0 0 8.750000e+01 9.750000e+01 -8.320265e+04
